customer_id,customer_name
CUST000,StrawberryMarket
CUST001,CherryTreeSuperstore
CUST002,AppleBasketGroceries
CUST003,BananaHutSupermarket
CUST004,CitrusCoop
CUST005,GrapeVineMart
CUST006,KiwiKraal
CUST007,LemonLeafStore
CUST008,MangoMeadows
CUST009,OrchardOutlet
CUST010,PomegranatePalace
CUST011,QuinceQuarters
CUST012,RaspberryRise
CUST013,StrawberrySummit
CUST014,TangerineTerrace
CUST015,WatermelonWay
CUST016,BlueberryBend
CUST017,CranberryCorner
CUST018,ElderberryElevation
CUST019,FigFarmMart
CUST020,GooseberryGrove
CUST021,HoneydewHaven
CUST022,KiwifruitKorner
CUST023,LemonLodge
CUST024,MelonMansion
CUST025,NectarineNook
CUST026,OrangeOrchard
CUST027,PassionfruitPalace
CUST028,QuinceQuarters
CUST029,RaspberryRetreat
CUST030,StarfruitSanctuary
CUST031,TamarilloTower
CUST032,UvaUplands
CUST033,VacciniumVilla
CUST034,WildBerryWay
CUST035,XiguaXanadu
CUST036,YumberryYard
CUST037,ZeaMazeMarket
CUST038,AppleBlossomInn
CUST039,ApricotAvenueHotel
CUST040,BananaBoweryHotel
CUST041,CherryChateauHotel
CUST042,DateDatePalmHotel
CUST043,ElderberryLodge
CUST044,FigFieldFarmHotel
CUST045,GrapeGardenHotel
CUST046,HoneydewHarborHotel
CUST047,JujubeJungleHotel
CUST048,KiwiKnottCottage
CUST049,LemonLodgeInn
CUST050,MelonManorHotel
CUST051,NectarineNestHotel
CUST052,OrangeOrchardInn
CUST053,PassionfruitPalaceHotel
CUST054,QuinceQuartersInn
CUST055,RaspberryRosaryInn
CUST056,StarfruitSanctuaryHotel
CUST057,TamarilloTowerHotel
CUST058,UvaUplandsInn
CUST059,VacciniumVillaInn
CUST060,WildBerryWayInn
CUST061,XiguaXanaduInn
CUST062,YumberryYardInn
CUST063,ZeaMazeMansionHotel
CUST064,AlmondAvenueSpa
CUST065,AvocadoApartments
CUST066,BlackberryBlossomBungalows
CUST067,CoconutCoveCondos
CUST068,DatesDelightDuplexes
CUST069,FigFieldFarmHouses
CUST070,GingerGroveGuesthouse
CUST071,HoneydewHarborHomes
CUST072,JujubeJungleVillas
CUST073,KiwiKnottCottageSuites
CUST074,LemonLodgeApartments
CUST075,MelonManorSuites
CUST076,NectarineNestBungalows
CUST077,OrangeOrchardApartments
CUST078,PassionfruitPalaceSuites
CUST079,QuinceQuartersHomes
CUST080,RaspberryRosaryHouses
CUST081,StarfruitSanctuaryVillas
CUST082,TamarilloTowerApartments
CUST083,UvaUplandsCottages
CUST084,VacciniumVillaCondos
CUST085,WildBerryWayHomes
CUST086,XiguaXanaduApartments
CUST087,YumberryYardSuites
CUST088,ZeaMazeMansionApartments
CUST089,AppleBlossomInnB&B
CUST090,ApricotAvenueHotelSuites
CUST091,BananaBoweryHotelRooms
CUST092,CherryChateauB&B
CUST093,DateDatePalmVillas
CUST094,ElderberryLodgeSuites
CUST095,FigFieldFarmCottages
CUST096,GrapeGardenHomes
CUST097,HoneydewHarborRooms
CUST098,JujubeJungleApartments
CUST099,KiwiKnottCottageRooms
